"day","confirmed","deaths","deaths_different","recovered","active","imported","tested","incidence","tests_daily","imported_daily","quarantined","hospitalized","intensive"
2020-02-28,1,0,0,0,1,1,116,1,116,1,NA,NA,NA
2020-02-29,1,0,0,0,1,1,142,0,26,0,NA,NA,NA
2020-03-01,1,0,0,0,1,1,165,0,23,0,NA,NA,NA
2020-03-02,1,0,0,0,1,1,191,0,26,0,NA,NA,NA
2020-03-03,1,0,0,0,1,1,215,0,24,0,NA,NA,NA
2020-03-04,1,0,0,0,1,1,231,0,16,0,NA,NA,NA
2020-03-05,1,0,0,0,1,1,247,0,16,0,NA,NA,NA
2020-03-06,1,0,0,0,1,1,254,0,7,0,NA,NA,NA
2020-03-07,1,0,0,0,1,1,260,0,6,0,NA,NA,NA
2020-03-08,1,0,0,0,1,1,275,0,15,0,NA,NA,NA
2020-03-09,1,0,0,0,1,1,290,0,15,0,NA,NA,NA
2020-03-10,3,0,0,0,3,3,309,2,19,2,NA,NA,NA
2020-03-11,3,0,0,0,3,3,321,0,12,0,NA,NA,NA
2020-03-12,4,0,0,0,4,4,366,1,45,1,NA,NA,NA
2020-03-13,6,0,0,0,6,6,442,2,76,2,NA,NA,NA
2020-03-14,9,0,0,0,9,9,520,3,78,3,NA,NA,NA
2020-03-15,12,0,0,1,11,12,624,3,104,3,NA,NA,NA
2020-03-16,19,0,0,1,18,19,742,7,118,7,NA,NA,NA
2020-03-17,27,0,0,1,26,26,935,8,193,7,NA,NA,NA
2020-03-18,36,0,0,1,35,35,1027,9,92,9,NA,NA,NA
2020-03-19,47,0,0,1,46,43,1154,11,127,8,NA,NA,NA
2020-03-20,69,1,0,1,67,59,1466,22,312,16,NA,NA,NA
2020-03-21,97,1,0,1,95,78,2086,28,620,19,NA,NA,NA
2020-03-22,128,1,0,1,126,99,2361,31,275,21,NA,NA,NA
2020-03-23,166,1,0,1,164,112,2734,38,373,13,NA,NA,NA
2020-03-24,208,2,0,1,205,129,3471,42,737,17,NA,NA,NA
2020-03-25,263,4,0,1,258,148,4320,55,849,19,NA,NA,NA
2020-03-26,292,4,0,1,287,159,5593,29,1273,11,NA,NA,NA
2020-03-27,339,5,0,1,333,177,6900,47,1307,18,NA,NA,NA
2020-03-28,378,7,0,1,370,184,8424,39,1524,7,NA,NA,NA
2020-03-29,424,7,0,1,416,194,9891,46,1467,10,NA,NA,NA
2020-03-30,468,7,0,7,454,200,11280,44,1389,6,NA,NA,NA
2020-03-31,512,8,0,7,497,207,12574,44,1294,7,NA,NA,NA
2020-04-01,579,8,0,7,564,230,15018,67,2444,23,NA,NA,NA
2020-04-02,631,9,0,7,615,247,17827,52,2809,17,NA,NA,NA
2020-04-03,683,9,0,7,667,255,20771,52,2944,8,NA,NA,NA
2020-04-04,716,11,0,7,698,260,23040,33,2269,5,NA,NA,NA
2020-04-05,750,14,0,7,729,263,24994,34,1954,3,NA,NA,NA
2020-04-06,783,15,0,7,761,269,27202,33,2208,6,NA,NA,NA
2020-04-07,821,15,0,7,799,271,29503,38,2301,2,NA,NA,NA
2020-04-08,858,15,0,8,835,277,32202,37,2699,6,NA,NA,NA
2020-04-09,896,16,0,8,872,280,35444,38,3242,3,NA,NA,NA
2020-04-10,926,22,0,54,850,283,37865,30,2421,3,NA,NA,NA
2020-04-11,952,23,0,97,832,286,39978,26,2113,3,NA,NA,NA
2020-04-12,970,24,0,101,845,289,40769,18,791,3,NA,NA,NA
2020-04-13,977,24,0,101,852,289,41956,7,1187,0,NA,NA,NA
2020-04-14,995,29,0,101,865,291,43943,18,1987,2,NA,NA,NA
2020-04-15,1022,30,0,178,814,291,47803,27,3860,0,NA,NA,NA
2020-04-16,1050,32,0,210,808,292,52367,28,4564,1,NA,NA,NA
2020-04-17,1091,33,0,228,830,294,58082,41,5715,2,NA,NA,NA
2020-04-18,1153,33,0,242,878,296,63301,62,5219,2,NA,NA,NA
2020-04-19,1173,36,0,242,895,296,65611,20,2310,0,NA,NA,NA
2020-04-20,1226,37,0,298,891,297,70012,53,4401,1,NA,NA,NA
2020-04-21,1250,38,0,357,855,298,76052,24,6040,1,NA,NA,NA
2020-04-22,1273,38,0,399,836,299,82850,23,6798,1,NA,NA,NA
2020-04-23,1292,40,0,430,822,299,90251,19,7401,0,NA,NA,NA
2020-04-24,1302,41,0,460,801,300,98207,10,7956,1,NA,NA,NA
2020-04-25,1317,41,0,467,809,302,103747,15,5540,2,NA,NA,NA
2020-04-26,1329,41,0,474,814,303,106034,12,2287,1,NA,NA,NA
2020-04-27,1338,44,0,536,758,304,111068,9,5034,1,601,NA,NA
2020-04-28,1365,45,0,563,757,305,117460,27,6392,1,624,NA,NA
2020-04-29,1376,45,0,589,742,306,124814,11,7354,1,595,NA,NA
2020-04-30,1390,45,0,594,751,307,132027,14,7213,1,531,NA,NA
2020-05-01,1395,46,0,632,717,307,137529,5,5502,0,499,NA,NA
2020-05-02,1400,46,0,635,719,308,140937,5,3408,1,397,NA,NA
2020-05-03,1408,46,0,638,724,309,143288,8,2351,1,357,NA,NA
2020-05-04,1411,46,0,678,687,310,148365,3,5077,1,357,NA,NA
2020-05-05,1417,48,3,718,648,310,155752,6,7387,0,374,NA,NA
2020-05-06,1422,49,3,739,631,310,163349,5,7597,0,317,NA,NA
2020-05-07,1431,49,4,765,613,312,171450,9,8101,2,284,NA,NA
2020-05-08,1460,49,4,828,579,312,179591,29,8141,0,268,NA,NA
2020-05-09,1472,50,4,828,590,312,183172,12,3581,0,321,NA,NA
2020-05-10,1480,50,4,833,593,313,185824,8,2652,1,303,NA,NA
2020-05-11,1489,50,4,850,585,314,191645,9,5821,1,280,NA,NA
2020-05-12,1503,54,6,908,535,316,199523,14,7878,2,273,NA,NA
2020-05-13,1512,54,6,934,518,316,207512,9,7989,0,260,NA,NA
