"day","description","tlk","total","intensive","ventilated","oxygen_mask","downloaded"
2020-10-04,"Stacionaro lovų skaičius","Vilniaus TLK",4002,177,158,1205,2020-10-05 22:54:24
2020-10-04,"Stacionaro lovų skaičius","Kauno TLK",3695,148,138,1121,2020-10-05 22:54:24
2020-10-04,"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017,2020-10-05 22:54:24
2020-10-04,"Stacionaro lovų skaičius","Šiaulių TLK",1930,61,57,965,2020-10-05 22:54:24
2020-10-04,"Stacionaro lovų skaičius","Panevėžio TLK",2424,85,66,474,2020-10-05 22:54:24
2020-10-04,"Užimtų lovų skaičius","Vilniaus TLK",2752,88,71,422,2020-10-05 22:54:24
2020-10-04,"Užimtų lovų skaičius","Kauno TLK",2285,86,29,490,2020-10-05 22:54:24
2020-10-04,"Užimtų lovų skaičius","Klaipėdos TLK",2016,59,16,390,2020-10-05 22:54:24
2020-10-04,"Užimtų lovų skaičius","Šiaulių TLK",1113,30,11,90,2020-10-05 22:54:24
2020-10-04,"Užimtų lovų skaičius","Panevėžio TLK",1633,36,13,212,2020-10-05 22:54:24
