"country","day","confirmed","deaths","recovered","tested","under_observation","quarantined"
"Lithuania",2020-02-28,1,0,0,116,3303,NA
"Lithuania",2020-02-29,1,0,0,142,3303,NA
"Lithuania",2020-03-01,1,0,0,165,3303,NA
"Lithuania",2020-03-02,1,0,0,191,3303,NA
"Lithuania",2020-03-03,1,0,0,215,3303,NA
"Lithuania",2020-03-04,1,0,0,231,4981,NA
"Lithuania",2020-03-05,1,0,0,247,4981,NA
"Lithuania",2020-03-06,1,0,0,254,4981,NA
"Lithuania",2020-03-07,1,0,0,260,4981,NA
"Lithuania",2020-03-08,1,0,0,275,4981,NA
"Lithuania",2020-03-09,1,0,0,290,4981,NA
"Lithuania",2020-03-10,1,0,0,309,4981,NA
"Lithuania",2020-03-11,3,0,0,321,4981,NA
"Lithuania",2020-03-12,3,0,0,366,9176,NA
"Lithuania",2020-03-13,6,0,0,442,9176,NA
"Lithuania",2020-03-14,7,0,0,520,9176,NA
"Lithuania",2020-03-15,12,0,1,624,43270,NA
"Lithuania",2020-03-16,17,0,1,742,43270,NA
"Lithuania",2020-03-17,26,0,1,935,56219,NA
"Lithuania",2020-03-18,34,0,1,1027,70998,NA
"Lithuania",2020-03-19,48,0,1,1154,74887,NA
"Lithuania",2020-03-20,69,1,1,1466,74887,NA
"Lithuania",2020-03-21,105,1,1,2086,74887,NA
"Lithuania",2020-03-22,143,1,1,2361,74887,NA
"Lithuania",2020-03-23,187,1,1,2734,74887,NA
"Lithuania",2020-03-24,255,2,1,3471,74887,NA
"Lithuania",2020-03-25,290,4,1,4320,74887,NA
"Lithuania",2020-03-26,344,4,1,5593,74887,NA
"Lithuania",2020-03-27,382,5,1,6900,74887,NA
"Lithuania",2020-03-28,437,7,1,8424,74887,NA
"Lithuania",2020-03-29,484,7,1,9891,74887,NA
"Lithuania",2020-03-30,533,7,7,11280,74887,NA
"Lithuania",2020-03-31,581,8,7,12574,74887,NA
"Lithuania",2020-04-01,649,8,7,15018,74887,NA
"Lithuania",2020-04-02,696,9,7,17827,74887,NA
"Lithuania",2020-04-03,771,9,7,20771,74887,NA
"Lithuania",2020-04-04,811,11,7,23040,74887,NA
"Lithuania",2020-04-05,843,14,7,24994,74887,NA
"Lithuania",2020-04-06,880,15,7,27202,74887,NA
"Lithuania",2020-04-07,912,15,7,29503,74887,NA
"Lithuania",2020-04-08,954,15,8,32202,74887,NA
"Lithuania",2020-04-09,998,16,8,35444,74887,NA
"Lithuania",2020-04-10,1025,22,54,37865,74887,NA
"Lithuania",2020-04-11,1052,23,97,39978,74887,NA
"Lithuania",2020-04-12,1061,24,101,40769,74887,NA
"Lithuania",2020-04-13,1069,24,101,41956,74887,NA
"Lithuania",2020-04-14,1090,29,101,43943,74887,NA
"Lithuania",2020-04-15,1127,30,178,47803,74887,NA
"Lithuania",2020-04-16,1148,32,210,52367,74887,NA
"Lithuania",2020-04-17,1238,33,228,58082,74887,NA
"Lithuania",2020-04-18,1297,33,242,63301,74887,NA
"Lithuania",2020-04-19,1325,36,242,65611,74887,NA
"Lithuania",2020-04-20,1349,37,298,70012,74887,NA
"Lithuania",2020-04-21,1369,38,357,76052,74887,NA
"Lithuania",2020-04-22,1397,38,399,82850,74887,NA
"Lithuania",2020-04-23,1409,40,430,90251,74887,NA
"Lithuania",2020-04-24,1425,41,460,98207,74887,NA
"Lithuania",2020-04-25,1437,41,467,103747,74887,NA
"Lithuania",2020-04-26,1448,41,474,106034,74887,NA
"Lithuania",2020-04-27,1453,44,536,111068,NA,601
"Lithuania",2020-04-28,1484,45,563,117460,NA,624
"Lithuania",2020-04-29,1494,45,589,124814,NA,595
"Lithuania",2020-04-30,1508,45,594,132027,NA,531
"Lithuania",2020-05-01,1515,46,632,137529,NA,499
"Lithuania",2020-05-02,1519,46,635,140937,NA,397
"Lithuania",2020-05-03,1528,46,638,143288,NA,357
"Lithuania",2020-05-04,1532,46,678,148365,NA,357
"Lithuania",2020-05-05,1537,48,718,155752,NA,374
"Lithuania",2020-05-06,1542,49,739,163349,NA,317
"Lithuania",2020-05-07,1545,49,765,171450,NA,284
"Lithuania",2020-05-08,1553,49,828,179591,NA,268
"Lithuania",2020-05-09,1596,50,828,183172,NA,321
"Lithuania",2020-05-10,1602,50,833,185824,NA,303
"Lithuania",2020-05-11,1608,50,850,191645,NA,280
"Lithuania",2020-05-12,1622,54,908,199523,NA,273
"Lithuania",2020-05-13,1628,54,934,207512,NA,260
"Lithuania",2020-05-14,1640,54,965,215506,NA,260
"Lithuania",2020-05-15,1651,55,988,223299,NA,272
"Lithuania",2020-05-16,1658,56,997,227985,NA,294
"Lithuania",2020-05-17,1664,59,997,230363,NA,295
"Lithuania",2020-05-18,1679,60,1025,236859,NA,341
"Lithuania",2020-05-19,1694,60,1049,244839,NA,368
"Lithuania",2020-05-20,1710,61,1049,252263,NA,368
"Lithuania",2020-05-21,1721,61,1111,258302,NA,398
"Lithuania",2020-05-22,1733,63,1135,264141,NA,453
"Lithuania",2020-05-23,1740,63,1138,266978,NA,461
"Lithuania",2020-05-24,1752,63,1138,269148,NA,470
"Lithuania",2020-05-25,1756,65,1165,274317,NA,478
"Lithuania",2020-05-26,1764,66,1184,280491,NA,550
"Lithuania",2020-05-27,1773,68,1193,287241,NA,495
"Lithuania",2020-05-28,1779,68,1216,293350,NA,500
"Lithuania",2020-05-29,1787,70,1229,298687,NA,434
"Lithuania",2020-05-30,1792,70,1236,302118,NA,389
"Lithuania",2020-05-31,1795,70,1236,304113,NA,336
"Lithuania",2020-06-01,1799,71,1249,308984,NA,309
"Lithuania",2020-06-02,1801,71,1260,314371,NA,307
"Lithuania",2020-06-03,1804,71,1273,320299,NA,294
"Lithuania",2020-06-04,1811,71,1302,325553,NA,273
"Lithuania",2020-06-05,1822,71,1321,330488,NA,263
"Lithuania",2020-06-06,1831,71,1328,332692,NA,250
"Lithuania",2020-06-07,1837,71,1331,334945,NA,225
"Lithuania",2020-06-08,1844,72,1338,339332,NA,253
"Lithuania",2020-06-09,1850,74,1369,344651,NA,285
"Lithuania",2020-06-10,1869,74,1372,350047,NA,294
"Lithuania",2020-06-11,1873,74,1400,355321,NA,309
"Lithuania",2020-06-12,1880,75,1416,359929,NA,312
"Lithuania",2020-06-13,1885,75,1427,362787,NA,326
"Lithuania",2020-06-14,1890,76,1429,364395,NA,316
"Lithuania",2020-06-15,1893,76,1441,368805,NA,319
"Lithuania",2020-06-16,1895,76,1447,374831,NA,338
"Lithuania",2020-06-17,1901,76,1449,380484,NA,223
"Lithuania",2020-06-18,1909,76,1462,385453,NA,208
"Lithuania",2020-06-19,1912,76,1470,389716,NA,187
"Lithuania",2020-06-20,1915,76,1475,391812,NA,174
"Lithuania",2020-06-21,1918,76,1475,393724,NA,162
"Lithuania",2020-06-22,1920,77,1483,397676,NA,131
"Lithuania",2020-06-23,1921,78,1484,403101,NA,147
"Lithuania",2020-06-24,1923,78,1494,405817,NA,143
"Lithuania",2020-06-25,1925,78,1501,410127,NA,140
"Lithuania",2020-06-26,1930,78,1503,414052,NA,103
"Lithuania",2020-06-27,1932,78,1503,415999,NA,93
